Taxonomy,sample,relab,timepoint,mouse_id
Erysipelotrichaceae,D9M32,0.046361854474179,D9,M32
Akkermansiaceae,D9M32,0.0264810592423697,D9,M32
Rikenellaceae,D9M32,0.0378415136605464,D9,M32
Deferribacteraceae,D9M32,0.0348813952558102,D9,M32
Oscillospiraceae,D9M32,0.0141605664226569,D9,M32
Ruminococcaceae,D9M32,0.0136805472218889,D9,M32
Muribaculaceae,D9M33,0.285971438857554,D9,M33
Bacteroidaceae,D9M33,0.116684667386695,D9,M33
Lachnospiraceae,D9M33,0.375415016600664,D9,M33
Lactobacillaceae,D9M33,0.0042001680067202,D9,M33
Erysipelotrichaceae,D9M33,0.0102804112164487,D9,M33
Akkermansiaceae,D9M33,0.000640025601024,D9,M33
Rikenellaceae,D9M33,0.0524820992839714,D9,M33
Deferribacteraceae,D9M33,0.0362814512580503,D9,M33
Oscillospiraceae,D9M33,0.0204808192327693,D9,M33
Ruminococcaceae,D9M33,0.0054002160086403,D9,M33
Muribaculaceae,D9M34,0.37197487899516,D9,M34
Bacteroidaceae,D9M34,0.205808232329293,D9,M34
Lachnospiraceae,D9M34,0.21556862274491,D9,M34
Lactobacillaceae,D9M34,0.0359214368574743,D9,M34
Erysipelotrichaceae,D9M34,0.0120804832193288,D9,M34
Akkermansiaceae,D9M34,0.0052402096083843,D9,M34
Rikenellaceae,D9M34,0.0841633665346614,D9,M34
Deferribacteraceae,D9M34,0.0046801872074883,D9,M34
Oscillospiraceae,D9M34,0.0127605104204168,D9,M34
Ruminococcaceae,D9M34,0.0046401856074243,D9,M34
Muribaculaceae,D9M35,0.425057002280091,D9,M35
Bacteroidaceae,D9M35,0.206168246729869,D9,M35
Lachnospiraceae,D9M35,0.109604384175367,D9,M35
Lactobacillaceae,D9M35,0.0558422336893476,D9,M35
Erysipelotrichaceae,D9M35,0.0581223248929957,D9,M35
Akkermansiaceae,D9M35,0.0137605504220169,D9,M35
Rikenellaceae,D9M35,0.0591623664946598,D9,M35
Deferribacteraceae,D9M35,0.0136805472218889,D9,M35
Oscillospiraceae,D9M35,0.0054802192087683,D9,M35
Ruminococcaceae,D9M35,0.0063202528101124,D9,M35
Muribaculaceae,D9M36,0.28713148525941,D9,M36
Bacteroidaceae,D9M36,0.162966518660746,D9,M36
Lachnospiraceae,D9M36,0.229249169966799,D9,M36
Lactobacillaceae,D9M36,0.0220808832353294,D9,M36
Erysipelotrichaceae,D9M36,0.0535621424856994,D9,M36
Akkermansiaceae,D9M36,0.000160006400256,D9,M36
Rikenellaceae,D9M36,0.128365134605384,D9,M36
Deferribacteraceae,D9M36,0.0526821072842914,D9,M36
Oscillospiraceae,D9M36,0.0081203248129925,D9,M36
Ruminococcaceae,D9M36,0.0040801632065282,D9,M36
Muribaculaceae,D9M37,0.31101244049762,D9,M37
Bacteroidaceae,D9M37,0.136165446617865,D9,M37
Lachnospiraceae,D9M37,0.222408896355854,D9,M37
Lactobacillaceae,D9M37,0.0076003040121604,D9,M37
Erysipelotrichaceae,D9M37,0.0120004800192008,D9,M37
Akkermansiaceae,D9M37,0.000280011200448,D9,M37
Rikenellaceae,D9M37,0.168046721868875,D9,M37
Deferribacteraceae,D9M37,0.0064402576103044,D9,M37
Oscillospiraceae,D9M37,0.0324412976519061,D9,M37
Ruminococcaceae,D9M37,0.0070002800112004,D9,M37
Muribaculaceae,D9M38,0.36897475899036,D9,M38
Bacteroidaceae,D9M38,0.226009040361614,D9,M38
Lachnospiraceae,D9M38,0.139885595423817,D9,M38
Lactobacillaceae,D9M38,0.0054802192087683,D9,M38
Erysipelotrichaceae,D9M38,0.0259610384415377,D9,M38
Akkermansiaceae,D9M38,0.000840033601344,D9,M38
Rikenellaceae,D9M38,0.116684667386695,D9,M38
Deferribacteraceae,D9M38,0.0042001680067202,D9,M38
Oscillospiraceae,D9M38,0.0223208928357134,D9,M38
Ruminococcaceae,D9M38,0.0103204128165127,D9,M38
Muribaculaceae,D9M39,0.446577863114525,D9,M39
Bacteroidaceae,D9M39,0.159486379455178,D9,M39
Lachnospiraceae,D9M39,0.171646865874635,D9,M39
Lactobacillaceae,D9M39,0.0195607824312973,D9,M39
Erysipelotrichaceae,D9M39,0.0266010640425617,D9,M39
Akkermansiaceae,D9M39,0.0026401056042241,D9,M39
Rikenellaceae,D9M39,0.0948437937517501,D9,M39
Deferribacteraceae,D9M39,0.0085203408136325,D9,M39
Oscillospiraceae,D9M39,0.0104804192167687,D9,M39
Ruminococcaceae,D9M39,0.0084003360134405,D9,M39
Muribaculaceae,D9M40,0.386615464618585,D9,M40
Bacteroidaceae,D9M40,0.127365094603784,D9,M40
Lachnospiraceae,D9M40,0.171926877075083,D9,M40
Lactobacillaceae,D9M40,0.0690427617104684,D9,M40
Erysipelotrichaceae,D9M40,0.014960598423937,D9,M40
Akkermansiaceae,D9M40,0.0028801152046081,D9,M40
Rikenellaceae,D9M40,0.119044761790472,D9,M40
Deferribacteraceae,D9M40,0.0039601584063362,D9,M40
Oscillospiraceae,D9M40,0.015160606424257,D9,M40
Ruminococcaceae,D9M40,0.015640625625025,D9,M40
Muribaculaceae,D12M31,0.395775831033241,D12,M31
Bacteroidaceae,D12M31,0.12992519700788,D12,M31
Lachnospiraceae,D12M31,0.161886475459018,D12,M31
Lactobacillaceae,D12M31,0.15520620824833,D12,M31
Erysipelotrichaceae,D12M31,0.0131605264210568,D12,M31
Akkermansiaceae,D12M31,0.0361214448577943,D12,M31
Rikenellaceae,D12M31,0.0243609744389776,D12,M31
Deferribacteraceae,D12M31,0.0073202928117124,D12,M31
Oscillospiraceae,D12M31,0.0134805392215689,D12,M31
Ruminococcaceae,D12M31,0.0048401936077443,D12,M31
Muribaculaceae,D12M32,0.512660506420257,D12,M32
Bacteroidaceae,D12M32,0.0682427297091884,D12,M32
Lachnospiraceae,D12M32,0.164846593863755,D12,M32
Lactobacillaceae,D12M32,0.0297611904476179,D12,M32
Erysipelotrichaceae,D12M32,0.0502420096803872,D12,M32
Akkermansiaceae,D12M32,0.0400816032641306,D12,M32
Rikenellaceae,D12M32,0.0497619904796192,D12,M32
Deferribacteraceae,D12M32,0.0099203968158726,D12,M32
Oscillospiraceae,D12M32,0.0117204688187528,D12,M32
Ruminococcaceae,D12M32,0.0081603264130565,D12,M32
